season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,home_goals_avg_5,away_goals_avg_5,home_odds,draw_odds,away_odds,leakage_guard
2011/12,22/10/11,Liverpool,Norwich,1,1,D,,,1.29,5.5,11,Only rows before current match
2011/12,22/10/11,Newcastle,Wigan,1,0,H,2.000,,1.57,3.8,6.5,Only rows before current match
2011/12,22/10/11,Wolves,Swansea,2,2,D,0.000,,2,3.4,3.8,Only rows before current match
2011/12,23/10/11,Arsenal,Stoke,3,1,H,,,1.53,4,6.5,Only rows before current match
2011/12,23/10/11,Blackburn,Tottenham,1,2,A,,,4,3.5,1.91,Only rows before current match
2011/12,23/10/11,Fulham,Everton,1,3,A,,,2.25,3.25,3.3,Only rows before current match
2011/12,23/10/11,Man United,Man City,1,6,A,,,2,3.4,3.8,Only rows before current match
2011/12,23/10/11,QPR,Chelsea,1,0,H,,,9.5,5,1.33,Only rows before current match
2011/12,29/10/11,Chelsea,Arsenal,3,5,A,0.000,3.000,1.62,4,5.5,Only rows before current match
2011/12,29/10/11,Everton,Man United,0,1,A,3.000,1.000,4.5,3.6,1.8,Only rows before current match
2011/12,29/10/11,Man City,Wolves,3,1,H,6.000,,1.17,7,19,Only rows before current match
2011/12,29/10/11,Norwich,Blackburn,3,3,D,,,1.91,3.6,4,Only rows before current match
2011/12,29/10/11,Sunderland,Aston Villa,2,2,D,,,2.1,3.3,3.6,Only rows before current match
2011/12,29/10/11,Swansea,Bolton,3,1,H,,,2.1,3.3,3.6,Only rows before current match
2011/12,29/10/11,West Brom,Liverpool,0,2,A,,,4,3.3,2,Only rows before current match
2011/12,29/10/11,Wigan,Fulham,0,2,A,,,2.88,3.25,2.5,Only rows before current match
2011/12,30/10/11,Tottenham,QPR,3,1,H,,,1.36,4.75,9,Only rows before current match
2011/12,31/10/11,Stoke,Newcastle,1,3,A,,,2.1,3.2,3.8,Only rows before current match
2011/12,05/11/11,Arsenal,West Brom,3,0,H,,0.000,1.4,4.5,8.5,Only rows before current match
2011/12,05/11/11,Aston Villa,Norwich,3,2,H,,,1.83,3.5,4.5,Only rows before current match
2011/12,05/11/11,Blackburn,Chelsea,0,1,A,,,7.5,4.33,1.44,Only rows before current match
2011/12,05/11/11,Liverpool,Swansea,0,0,D,,,1.29,5.5,10,Only rows before current match
2011/12,05/11/11,Man United,Sunderland,1,0,H,,,1.25,5.5,13,Only rows before current match
2011/12,05/11/11,Newcastle,Everton,2,1,H,,,2.25,3.25,3.3,Only rows before current match
2011/12,05/11/11,QPR,Man City,2,3,A,,,10,5,1.33,Only rows before current match
2011/12,06/11/11,Bolton,Stoke,5,0,H,,,2.4,3.3,3,Only rows before current match
2011/12,06/11/11,Fulham,Tottenham,1,3,A,,,3.25,3.3,2.25,Only rows before current match
2011/12,06/11/11,Wolves,Wigan,3,1,H,,,1.91,3.3,4.33,Only rows before current match
2011/12,19/11/11,Everton,Wolves,2,1,H,1.000,3.000,1.57,3.75,6.5,Only rows before current match
2011/12,19/11/11,Man City,Newcastle,3,1,H,3.000,,1.3,5.5,10,Only rows before current match
2011/12,19/11/11,Norwich,Arsenal,1,2,A,,,5.5,3.6,1.67,Only rows before current match
2011/12,19/11/11,Stoke,QPR,2,3,A,,,1.83,3.5,4.5,Only rows before current match
2011/12,19/11/11,Sunderland,Fulham,0,0,D,,,2.3,3.25,3.2,Only rows before current match
2011/12,19/11/11,Swansea,Man United,0,1,A,,,6.5,4.2,1.5,Only rows before current match
2011/12,19/11/11,West Brom,Bolton,2,1,H,,,2,3.4,3.8,Only rows before current match
2011/12,19/11/11,Wigan,Blackburn,3,3,D,,,2.5,3.25,2.88,Only rows before current match
2011/12,20/11/11,Chelsea,Liverpool,1,2,A,,,1.83,3.5,4.5,Only rows before current match
2011/12,21/11/11,Tottenham,Aston Villa,2,0,H,,,1.57,4,6,Only rows before current match
2011/12,26/11/11,Arsenal,Fulham,1,1,D,,,1.44,4.2,8,Only rows before current match
2011/12,26/11/11,Bolton,Everton,0,2,A,1.000,,3.1,3.25,2.38,Only rows before current match
2011/12,26/11/11,Chelsea,Wolves,3,0,H,1.000,,1.22,6,15,Only rows before current match
2011/12,26/11/11,Man United,Newcastle,1,1,D,,,1.4,4.5,8.5,Only rows before current match
2011/12,26/11/11,Norwich,QPR,2,1,H,,,2.1,3.4,3.5,Only rows before current match
2011/12,26/11/11,Stoke,Blackburn,3,1,H,,,1.83,3.5,4.5,Only rows before current match
2011/12,26/11/11,Sunderland,Wigan,1,2,A,,,1.67,3.6,5.5,Only rows before current match
2011/12,26/11/11,West Brom,Tottenham,1,3,A,,,4,3.6,1.91,Only rows before current match
2011/12,27/11/11,Liverpool,Man City,1,1,D,,,2.75,3.2,2.63,Only rows before current match
2011/12,27/11/11,Swansea,Aston Villa,0,0,D,,,2.2,3.25,3.4,Only rows before current match
2011/12,03/12/11,Aston Villa,Man United,0,1,A,0.000,,5,3.6,1.73,Only rows before current match
2011/12,03/12/11,Blackburn,Swansea,4,2,H,,0.000,2.1,3.4,3.5,Only rows before current match
2011/12,03/12/11,Man City,Norwich,5,1,H,1.000,,1.17,7,17,Only rows before current match
2011/12,03/12/11,Newcastle,Chelsea,0,3,A,,,3.5,3.4,2.1,Only rows before current match
2011/12,03/12/11,QPR,West Brom,1,1,D,,,2.25,3.3,3.25,Only rows before current match
2011/12,03/12/11,Tottenham,Bolton,3,0,H,,,1.3,5,12,Only rows before current match
2011/12,03/12/11,Wigan,Arsenal,0,4,A,,,6,4,1.57,Only rows before current match
2011/12,04/12/11,Everton,Stoke,0,1,A,,,1.67,3.6,5.5,Only rows before current match
2011/12,04/12/11,Wolves,Sunderland,2,1,H,,,2.4,3.3,3,Only rows before current match
2011/12,05/12/11,Fulham,Liverpool,1,0,H,,,3.5,3.4,2.1,Only rows before current match
2011/12,10/12/11,Arsenal,Everton,1,0,H,4.000,0.000,1.53,4,6.5,Only rows before current match
2011/12,10/12/11,Bolton,Aston Villa,1,2,A,,,2.5,3.3,2.88,Only rows before current match
2011/12,10/12/11,Liverpool,QPR,1,0,H,0.000,,1.33,5,10,Only rows before current match
2011/12,10/12/11,Man United,Wolves,4,1,H,,2.000,1.22,6,15,Only rows before current match
2011/12,10/12/11,Norwich,Newcastle,4,2,H,,,2.4,3.4,2.88,Only rows before current match
2011/12,10/12/11,Swansea,Fulham,2,0,H,,,2.63,3.25,2.75,Only rows before current match
2011/12,10/12/11,West Brom,Wigan,1,2,A,,,1.67,3.8,5.25,Only rows before current match
2011/12,11/12/11,Stoke,Tottenham,2,1,H,,,3.75,3.5,2,Only rows before current match
2011/12,11/12/11,Sunderland,Blackburn,2,1,H,,,1.83,3.5,4.5,Only rows before current match
2011/12,12/12/11,Chelsea,Man City,2,1,H,,,2.4,3.3,3,Only rows before current match
2011/12,17/12/11,Blackburn,West Brom,1,2,A,1.000,1.000,2.38,3.3,3,Only rows before current match
2011/12,17/12/11,Everton,Norwich,1,1,D,,,1.62,3.75,6,Only rows before current match
2011/12,17/12/11,Fulham,Bolton,2,0,H,,,1.62,3.75,6,Only rows before current match
2011/12,17/12/11,Newcastle,Swansea,0,0,D,,,1.8,3.6,4.5,Only rows before current match
2011/12,17/12/11,Wigan,Chelsea,1,1,D,,2.000,9,4.75,1.36,Only rows before current match
2011/12,17/12/11,Wolves,Stoke,1,2,A,,,2.5,3.25,2.88,Only rows before current match
2011/12,18/12/11,Aston Villa,Liverpool,0,2,A,,,4.2,3.4,1.91,Only rows before current match
2011/12,18/12/11,Man City,Arsenal,1,0,H,,,1.73,3.75,4.5,Only rows before current match
2011/12,18/12/11,QPR,Man United,0,2,A,,,7.5,4.33,1.44,Only rows before current match
2011/12,18/12/11,Tottenham,Sunderland,1,0,H,,,1.36,4.75,9,Only rows before current match
2011/12,20/12/11,Blackburn,Bolton,1,2,A,,,2.1,3.4,3.5,Only rows before current match
2011/12,20/12/11,Wolves,Norwich,2,2,D,,,2,3.5,3.75,Only rows before current match
2011/12,21/12/11,Aston Villa,Arsenal,1,2,A,,0.000,5,3.6,1.73,Only rows before current match
2011/12,21/12/11,Everton,Swansea,1,0,H,,,1.57,3.75,6.5,Only rows before current match
2011/12,21/12/11,Fulham,Man United,0,5,A,,,5,3.6,1.73,Only rows before current match
2011/12,21/12/11,Man City,Stoke,3,0,H,,,1.22,6,15,Only rows before current match
2011/12,21/12/11,Newcastle,West Brom,2,3,A,,,2,3.5,3.75,Only rows before current match
2011/12,21/12/11,QPR,Sunderland,2,3,A,,,2.5,3.3,2.88,Only rows before current match
2011/12,21/12/11,Wigan,Liverpool,0,0,D,,,7,4,1.5,Only rows before current match
2011/12,22/12/11,Tottenham,Chelsea,1,1,D,,,2.6,3.4,2.7,Only rows before current match
2011/12,26/12/11,Bolton,Newcastle,0,2,A,,2.000,2.5,3.4,2.8,Only rows before current match
2011/12,26/12/11,Chelsea,Fulham,1,1,D,1.000,,1.3,5,12,Only rows before current match
2011/12,26/12/11,Liverpool,Blackburn,1,1,D,0.000,,1.25,5.5,13,Only rows before current match
2011/12,26/12/11,Man United,Wigan,5,0,H,,0.000,1.14,7.5,21,Only rows before current match
2011/12,26/12/11,Stoke,Aston Villa,0,0,D,,,1.91,3.4,4.2,Only rows before current match
2011/12,26/12/11,Sunderland,Everton,1,1,D,,,2.4,3.25,3,Only rows before current match
2011/12,26/12/11,West Brom,Man City,0,0,D,,,7,4.5,1.44,Only rows before current match
2011/12,27/12/11,Arsenal,Wolves,1,1,D,,,1.22,6,15,Only rows before current match
2011/12,27/12/11,Norwich,Tottenham,0,2,A,,,4.5,3.6,1.8,Only rows before current match
2011/12,27/12/11,Swansea,QPR,1,1,D,,,2,3.4,3.8,Only rows before current match
2011/12,30/12/11,Liverpool,Newcastle,3,1,H,,,1.53,4,6.5,Only rows before current match
2011/12,31/12/11,Arsenal,QPR,1,0,H,1.000,1.000,1.25,5.5,13,Only rows before current match
2011/12,31/12/11,Bolton,Wolves,1,1,D,,1.000,2.2,3.25,3.4,Only rows before current match
2011/12,31/12/11,Chelsea,Aston Villa,1,3,A,,,1.29,5,13,Only rows before current match
2011/12,31/12/11,Man United,Blackburn,2,3,A,,,1.13,8,26,Only rows before current match
2011/12,31/12/11,Norwich,Fulham,1,1,D,,,2.6,3.25,2.75,Only rows before current match
2011/12,31/12/11,Stoke,Wigan,2,2,D,,,1.67,3.6,5.5,Only rows before current match
2011/12,31/12/11,Swansea,Tottenham,1,1,D,,,5.5,3.6,1.67,Only rows before current match
2011/12,01/01/12,Sunderland,Man City,1,0,H,,,6.5,4,1.53,Only rows before current match
2011/12,01/01/12,West Brom,Everton,0,1,A,,,2.6,3.25,2.75,Only rows before current match
2011/12,02/01/12,Aston Villa,Swansea,0,2,A,,1.000,1.83,3.4,4.75,Only rows before current match
2011/12,02/01/12,Blackburn,Stoke,1,2,A,,2.000,2.5,3.25,2.88,Only rows before current match
2011/12,02/01/12,Fulham,Arsenal,2,1,H,,,4,3.5,1.91,Only rows before current match
2011/12,02/01/12,QPR,Norwich,1,2,A,,,2.1,3.4,3.5,Only rows before current match
2011/12,02/01/12,Wolves,Chelsea,1,2,A,,,6,4,1.57,Only rows before current match
2011/12,03/01/12,Man City,Liverpool,3,0,H,,,1.91,3.4,4.2,Only rows before current match
2011/12,03/01/12,Tottenham,West Brom,1,0,H,,,1.33,5,10,Only rows before current match
2011/12,03/01/12,Wigan,Sunderland,1,4,A,,,2.63,3.25,2.75,Only rows before current match
2011/12,04/01/12,Everton,Bolton,1,2,A,,,1.5,4,7,Only rows before current match
2011/12,04/01/12,Newcastle,Man United,3,0,H,,,5,3.6,1.73,Only rows before current match
2011/12,11/01/12,Tottenham,Everton,2,0,H,1.000,1.000,1.53,3.8,7,Only rows before current match
2011/12,14/01/12,Aston Villa,Everton,1,1,D,,0.500,2.4,3.25,3,Only rows before current match
2011/12,14/01/12,Blackburn,Fulham,3,1,H,,,3,3.3,2.38,Only rows before current match
2011/12,14/01/12,Chelsea,Sunderland,1,0,H,,,1.4,4.5,8.5,Only rows before current match
2011/12,14/01/12,Liverpool,Stoke,0,0,D,,,1.4,4.33,9,Only rows before current match
2011/12,14/01/12,Man United,Bolton,3,0,H,,,1.14,8,17,Only rows before current match
2011/12,14/01/12,Tottenham,Wolves,1,1,D,,,1.25,5.5,13,Only rows before current match
2011/12,14/01/12,West Brom,Norwich,1,2,A,,,2,3.4,3.8,Only rows before current match
2011/12,15/01/12,Newcastle,QPR,1,0,H,,,1.73,3.6,5,Only rows before current match
2011/12,15/01/12,Swansea,Arsenal,3,2,H,,,4.75,3.5,1.8,Only rows before current match
2011/12,16/01/12,Wigan,Man City,0,1,A,,,9,4.33,1.4,Only rows before current match
2011/12,21/01/12,Bolton,Liverpool,3,1,H,,,6,3.75,1.62,Only rows before current match
2011/12,21/01/12,Everton,Blackburn,1,1,D,,,1.53,4,6.5,Only rows before current match
2011/12,21/01/12,Fulham,Newcastle,5,2,H,,1.000,2,3.4,3.8,Only rows before current match
2011/12,21/01/12,Norwich,Chelsea,0,0,D,,,5.5,4,1.62,Only rows before current match
2011/12,21/01/12,QPR,Wigan,3,1,H,,0.000,2,3.4,3.8,Only rows before current match
2011/12,21/01/12,Stoke,West Brom,1,2,A,,,1.91,3.4,4.2,Only rows before current match
2011/12,21/01/12,Sunderland,Swansea,2,0,H,,,1.91,3.4,4.2,Only rows before current match
2011/12,21/01/12,Wolves,Aston Villa,2,3,A,,,2.5,3.25,2.88,Only rows before current match
2011/12,22/01/12,Arsenal,Man United,1,2,A,,,2.8,3.4,2.5,Only rows before current match
2011/12,22/01/12,Man City,Tottenham,3,2,H,,,1.91,3.6,4,Only rows before current match
2011/12,31/01/12,Everton,Man City,1,0,H,,3.000,4.33,3.5,1.85,Only rows before current match
2011/12,31/01/12,Man United,Stoke,2,0,H,2.000,,1.33,5,10,Only rows before current match
2011/12,31/01/12,Swansea,Chelsea,1,1,D,,,4,3.25,2,Only rows before current match
2011/12,31/01/12,Tottenham,Wigan,3,1,H,2.000,,1.22,6,15,Only rows before current match
2011/12,31/01/12,Wolves,Liverpool,0,3,A,,,5,3.8,1.7,Only rows before current match
2011/12,01/02/12,Aston Villa,QPR,2,2,D,,,1.8,3.5,4.75,Only rows before current match
2011/12,01/02/12,Blackburn,Newcastle,0,2,A,,,2.63,3.3,2.7,Only rows before current match
2011/12,01/02/12,Bolton,Arsenal,0,0,D,,,5,3.75,1.7,Only rows before current match
2011/12,01/02/12,Fulham,West Brom,1,1,D,,,1.83,3.5,4.5,Only rows before current match
2011/12,01/02/12,Sunderland,Norwich,3,0,H,,,1.91,3.5,4.2,Only rows before current match
2011/12,04/02/12,Arsenal,Blackburn,7,1,H,0.000,0.000,1.29,5.5,11,Only rows before current match
2011/12,04/02/12,Man City,Fulham,3,0,H,,1.000,1.3,5.5,10,Only rows before current match
2011/12,04/02/12,Norwich,Bolton,2,0,H,0.000,0.000,2,3.5,3.75,Only rows before current match
2011/12,04/02/12,QPR,Wolves,1,2,A,,,1.91,3.6,4,Only rows before current match
2011/12,04/02/12,Stoke,Sunderland,0,1,A,,3.000,2.25,3.25,3.3,Only rows before current match
2011/12,04/02/12,West Brom,Swansea,1,2,A,,,2.1,3.3,3.6,Only rows before current match
2011/12,04/02/12,Wigan,Everton,1,1,D,,,3.5,3.4,2.1,Only rows before current match
2011/12,05/02/12,Chelsea,Man United,3,3,D,,,2.5,3.3,2.88,Only rows before current match
2011/12,05/02/12,Newcastle,Aston Villa,2,1,H,,,2,3.4,3.8,Only rows before current match
2011/12,06/02/12,Liverpool,Tottenham,0,0,D,,,2,3.4,3.8,Only rows before current match
2011/12,11/02/12,Blackburn,QPR,3,2,H,,,2.38,3.3,3,Only rows before current match
2011/12,11/02/12,Bolton,Wigan,1,2,A,,1.000,2,3.5,3.75,Only rows before current match
2011/12,11/02/12,Everton,Chelsea,2,0,H,,3.000,3.25,3.3,2.25,Only rows before current match
2011/12,11/02/12,Fulham,Stoke,2,1,H,,,1.91,3.5,4,Only rows before current match
2011/12,11/02/12,Man United,Liverpool,2,1,H,,0.000,1.85,3.6,4.33,Only rows before current match
2011/12,11/02/12,Sunderland,Arsenal,1,2,A,,,3.5,3.4,2.1,Only rows before current match
2011/12,11/02/12,Swansea,Norwich,2,3,A,,,1.83,3.5,4.5,Only rows before current match
2011/12,11/02/12,Tottenham,Newcastle,5,0,H,,,1.44,4.33,7.5,Only rows before current match
2011/12,12/02/12,Aston Villa,Man City,0,1,A,,,5.5,3.6,1.67,Only rows before current match
2011/12,12/02/12,Wolves,West Brom,1,5,A,,,2.5,3.25,2.88,Only rows before current match
2011/12,25/02/12,Chelsea,Bolton,3,0,H,,,1.29,5.5,11,Only rows before current match
2011/12,25/02/12,Man City,Blackburn,3,0,H,1.000,,1.17,7,17,Only rows before current match
2011/12,25/02/12,Newcastle,Wolves,2,2,D,0.000,1.000,1.57,4,6,Only rows before current match
2011/12,25/02/12,QPR,Fulham,0,1,A,,,2.63,3.25,2.75,Only rows before current match
2011/12,25/02/12,West Brom,Sunderland,4,0,H,5.000,,2.4,3.25,3,Only rows before current match
2011/12,25/02/12,Wigan,Aston Villa,0,0,D,,,2.75,3.25,2.63,Only rows before current match
2011/12,26/02/12,Arsenal,Tottenham,5,2,H,,,2.5,3.4,2.75,Only rows before current match
2011/12,26/02/12,Norwich,Man United,1,2,A,,,6.5,4,1.53,Only rows before current match
2011/12,26/02/12,Stoke,Swansea,2,0,H,,,2.1,3.4,3.5,Only rows before current match
2011/12,03/03/12,Blackburn,Aston Villa,1,1,D,,0.000,2.38,3.4,3,Only rows before current match
2011/12,03/03/12,Liverpool,Arsenal,1,2,A,,5.000,2,3.5,3.75,Only rows before current match
2011/12,03/03/12,Man City,Bolton,2,0,H,,,1.13,8.5,21,Only rows before current match
2011/12,03/03/12,QPR,Everton,1,1,D,,,3.1,3.25,2.38,Only rows before current match
2011/12,03/03/12,Stoke,Norwich,1,0,H,2.000,,1.83,3.5,4.5,Only rows before current match
2011/12,03/03/12,West Brom,Chelsea,1,0,H,,,4.2,3.4,1.91,Only rows before current match
2011/12,03/03/12,Wigan,Swansea,0,2,A,,,2.5,3.25,2.88,Only rows before current match
2011/12,04/03/12,Fulham,Wolves,5,0,H,,,1.57,3.75,6.5,Only rows before current match
2011/12,04/03/12,Newcastle,Sunderland,1,1,D,,,2.1,3.4,3.5,Only rows before current match
2011/12,04/03/12,Tottenham,Man United,1,3,A,,,2.88,3.4,2.4,Only rows before current match
2011/12,10/03/12,Aston Villa,Fulham,1,0,H,,5.000,2.5,3.25,2.88,Only rows before current match
2011/12,10/03/12,Bolton,QPR,2,1,H,,,2.5,3.25,2.88,Only rows before current match
2011/12,10/03/12,Chelsea,Stoke,1,0,H,,,1.4,4.5,8.5,Only rows before current match
2011/12,10/03/12,Everton,Tottenham,1,0,H,,1.000,2.88,3.25,2.5,Only rows before current match
2011/12,10/03/12,Sunderland,Liverpool,1,0,H,,,3.8,3.4,2,Only rows before current match
2011/12,10/03/12,Wolves,Blackburn,0,2,A,,,2.38,3.3,3,Only rows before current match
2011/12,11/03/12,Man United,West Brom,2,0,H,,,1.29,5.5,11,Only rows before current match
2011/12,11/03/12,Norwich,Wigan,1,1,D,,,1.83,3.6,4.33,Only rows before current match
2011/12,11/03/12,Swansea,Man City,1,0,H,,,6,3.75,1.62,Only rows before current match
2011/12,12/03/12,Arsenal,Newcastle,2,1,H,,,1.44,4.33,7.5,Only rows before current match
2011/12,13/03/12,Liverpool,Everton,3,0,H,,,1.73,3.4,5.5,Only rows before current match
2011/12,17/03/12,Fulham,Swansea,0,3,A,,1.000,1.83,3.5,4.5,Only rows before current match
